Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
CS 328,Introduction to Data Science,3,1,0,4,Anirban Dasgupta(I+T),,,,"P1,P2
(7/208)","G1
(7/209)",,https://sites.google.com/iitgn.ac.in/cs328-2022/home,,,AI,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech  Electrical Engineering,,,,,,,,,,,,,,,,,
ES 332,Control Theory,3,1,0,4,"S Rajendran(I+T),Vineet Vashista(T)",,,,"F1,F2
(10/201)","M1
(7/102,7/107)",,Course Plan,,,Robotics,
EE 333,Power Electronics,2,1,3,4,S Rajendran(I+T+L),,,,"E1,E2
(10/101)",,"L1,N1,L2,N2
(EE Lab)",Course Plan,,,,
ES 333,Microprocessors and Embedded Systems,1.5,1,3,4,Jhuma Saha(I+T+L),,,,"D1,D2
(7/209)",,"K1,H1
(EE Lab)",Course Plan,,,,
EE 341,Communication Systems,3,1,0,4,Ravi Hegde(I+T),,,,"C1,C2
(7/202)","G1
(7/202)",,EE 341 - Communication Systems,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
6th  Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
ES 332,Control Theory,3,1,0,4,"S Rajendran(I+T),Vineet Vashista(T)",,,,"F1,F2
(10/201)","M1
(7/102,7/107)",,Course Plan ,,,Robotics,
ME 322,Synthesis and Analysis of Mechanisms,2,1,1.5,4,Harish P. M.(I+T+L),,,,"E1,E2
(7/107)",,"I1
(7/204)",,,,Robotics,
ME 332,Industrial Engineering and Operations Research,3,1,0,4,Chelvakumar K(I+T),,,,"C1,C2
(7/203)","H1
(10/101)",,,,,,
