Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Minor in,HSS/BS elective
BS 191,Matter and Energy Laboratory,0,0,4,4,"Saumyakanti Khatua(L),Sudhanshu Sharma(L)",,242,,,,"J1,L1,N1
(7/101,7/102,7/103,7/104,7/105,7/106)",,,,
EE 332,Power Systems,3,1,0,4,Naran Pindoriya(I+T),,51,,"E1,E2
(7/209)","H1
(7/209)",,,,,
ES 331,Probability and Random Processes,3,1,0,4,Soumyabrata Chakrabarty(I+T),,88,,"B1,B2
(7/209)","F1
(7/208)",,,,,
EE 321,Analog Circuits,3,1,3,5,Tarun Agrawal(I+T+L),,53,,"C1,C2
(5/203)","G1
(7/208)","I1,K1
(EE Lab)",,,,
EE 311,Electromagnetic Waves,3,1,0,4,Ravi Hegde(I+T),,39,,"D1,D2
(7/101)","G2
(7/101)",,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,209,,,,,,,,
7th  Sem  Electrical Engineering,,,,,,,,,,,,,,,,
EE 411,Digital Signal Processing,3,1,0,4,Uttama Lahiri(I+T),,44,,"E1,E2
(7/203)","H1
(7/107)",,,,,
EE 431,Electrical Systems Lab,0,0,3,2,Soumyabrata Chakrabarty(L),,,,,,"I2,M1
(EE Lab)",,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
,Basic Science Elective (choose from list below),,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
5th  Sem  Mechanical Engineering,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),TBD",,260,,"A1,A2
(1/103)","L2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201)",,,,,
BS 191,Matter and Energy Laboratory,0,0,4,4,"Saumyakanti Khatua(L),Sudhanshu Sharma(L)",,242,,,,"J1,L1,N1
(7/101,7/102,7/103,7/104,7/105,7/106)",,,,
ES 311,Heat and Mass Transfer,3,1,0,4,"Soumyadip Sett(I+T),Biswajit Saha(T)",,92,,"B1,B2
(1/101)","F1
(7/209,7/107)",,,,,
ME 321,Mechanics of Deformable Bodies,3,1,0,4,Ravi Ayyagari(I+T),,49,,"E1,E2
(1/102)","H1
(7/202)",,,,,
ME 331,Manufacturing Processes and Systems,3,0,0,4,Prof. Ramakrishnan(I),,50,,"C1,C2
(7/202)",,,,,,
ME 351,Mechanical Engineering Laboratory I,0,0,3,2,"Uddipta Ghosh(L),Harmeet Singh(L)",,48,,,,"I1,K1
(5/202)",,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,209,,,,,,,,
7th Sem  Mechanical Engineering,,,,,,,,,,,,,,,,
ME 461,Integrated Design and Manufacturing II,0,1,3,2,Prof. Ramakrishnan(I+T+L),,38,,"B1
(7/210)",,"M1,P1
(7/207)",,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
5th Sem Materials Engineering,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),TBD",,260,,"A1,A2
(1/103)","L2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201)",,,,,
BS 191,Matter and Energy Laboratory,0,0,4,4,"Saumyakanti Khatua(L),Sudhanshu Sharma(L)",,242,,,,"J1,L1,N1
(7/101,7/102,7/103,7/104,7/105,7/106)",,,,
MSE 303 (N),Mechanical Behaviour of Materials,3,0,3,5,"Pradipta Ghosh(I),TBD",,20,,"G1,G2
(7/201)",,"I1,K1
(MSE Lab)",,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,Surya P Mehrotra(I),,19,,"C1,C2
(7/210)",,,,,,
MSE 305,Advanced Materials,3,0,0,4,Superb Misra(I),,24,,"B1,B2
(7/103)",,,,,,
MSE 310,Physics of Materials,3,1,0,4,Gopinadhan Kalon(I+T),,34,,"F1,F2
(7/206)","E2
(7/104)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,
7th Sem Materials Engineering,,,,,,,,,,,,,,,,
MSE 402,Computational Process Design,3,1,0,4,TBD,,24,,"C1,C2
(7/103)","G1
(7/103)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
Electives,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,
FP 501,Aarohan (For 2023 MSc and MA students),0,0,0,2,TBD,,,,,,,,,,
FP 601,"Aarohan (For 2023 MTech, PGDIIT and PhD students)",0,0,0,2,TBD,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2023 MSc and MA students),0,0,0,0,,,153,,,,,,,,
PE 600,"Physical Education (For 2023 MTech, PGDIIT and PhD students)",0,0,0,0,,,193,,,,,,,,
Additional courses BE,,,,,,,,,,,,,,,,
BE 301,Molecular Genetics,3,0,0,2,Sharad Gupta(I),,5,,"M1,M2
(7/210)",,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Dhiraj Bhatia(I),,38,,"J1,J2
(7/210)",,,,,,
BE 401(2),Methods in Biology,0,0,3,2,Sharmistha Majumdar(L),,40,,,,"I1,K1
(BE Lab)",,,,
BE 405,Introduction to Plant Biotechnology,3,0,0,4,Subramanian Sankaranarayanan(I),,40,,"L1,L2
(7/204)",,,,,,
BE 601,Applied Biological Engineering,3,0,0,4,Mukesh Dhanka(I),,7,,"K1,K2
(7/101)",,,,,,
BE 607,Molecular and Cellular Biotechnology,3,0,0,4,Sharmistha Majumdar(I),,17,,"D1,D2
(7/205)",,,,,,
BE 610,Molecular Oncology,3,0,0,4,Umashankar Singh(I),,3,,"I1,I2
(7/101)",,,,,,
BE 613,Biochemistry,3,0,0,4,Sharad Gupta(I),,32,,"N1,N2
(7/210)",,,,,,
BE 614,Biostatistics,1.5,0,3,4,Karla P. Mercado-Shekhar(I+L),,39,,"M1
(7/101)",,"F2,H2
(7/109)",,,,
Additional courses CE,,,,,,,,,,,,,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,8,,"G1,G2
(7/210)",,"J1,L1
(CE Lab)",,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Manish Kumar(I),,5,,"J1,J2
(7/110)",,,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Vimal Mishra(I),,6,,"N1,N2
(7/203)",,,,,,
CE 622,Structural Dynamics,3,0,0,4,Dhiman Basu(I),,5,,"L1,L2
(7/205)",,,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Mohapatra(I),,5,,"D1,D2
(7/204)",,,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,SR Gandhi(I),,9,,"K1,K2
(7/210)",,,,,,
CE 633,Infrastructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,10,,"I1,I2
(7/210)",,,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,4,,"N1,N2
(7/110)",,,,,,
CE 635,Pavement Materials and Design,3,0,0,4,"Sushobhan Sen(I)
",,40,,"M1,M2
(7/102)",,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,"Harmeet Singh(I),Tarun Gangwar(I)",,23,,"C1,C2
(7/110)",,,,,,
Additional courses CL,,,,,,,,,,,,,,,,
CL 426,Biochemical Engineering,3,0,0,4,Karthik Subramaniam(I),,7,,"M1,M2
(7/103)",,,,,,
BS 491-I,Special Topics: Nanoscale Science and Technology,3,0,0,4,Kabeer Jasuja(I),,40,,"J1,J2
(7/201)",,,,,,
CL 601,Advance Transport Phenomena,3,1,0,4,Pratyush Dayal(I+T),,20,,"L1,L2
(7/206)","J2
(7/101)",,,,,
CL 605,Colloidal Domain: Where Science Meets Engineering,3,0,0,4,Prachi Thareja(I),,17,,"K1,K2
(7/103)",,,,,,
CL 630,Catalyst Design for Heterogeneous Reactions,3,0,0,4,Abinaya Sampath(I),,40,,"P1,P2
(7/210)",,,https://drive.google.com/file/d/1vZDxi9n1RAm34sSdwOO8iwxKNmA7zaRO/view?usp=share_link,,,
ES 617,Design of Experiments,3,0,0,4,Nitin Padhiyar(I),,,,"M1,M2
(7/208)",,,,,,
ES 635,Water Quality Engineering,3,0,0,4,Chinmay Ghoroi(I),,,,"N1,N2
(7/202)",,,,,,
Additional courses CSE,,,,,,,,,,,,,,,,
CS 434,Software Engineering and Testing,3,1,0,4,Shouvick Mondal(I+T),,,,"I1,I2
(7/110)","E2
(7/101)",,https://sites.google.com/view/shouvick/shouvick-mondal/software-engineering-and-testing-cs434?authuser=0,,,
CS 610,Algorithms,3,0,0,4,Manoj Gupta(I),,33,,"B1,B2
(7/107)",,,,,,
CS 612,Computer Systems,3,0,0,4,"Sameer Kulkarni(I),Abhishek Bichawat(I)",,30,,"K1,K2
(7/206)",,,,,,
CS 613,Natural Language Processing,3,0,0,4,Mayank Singh(I),,14,,"I1,I2
(7/102)",,,,,,
